household_id,child_id,child_unique_id,child_age,child_gender,ar11,mother_pid14,mother_pidlink,mother_age
0110641,4.0,011064104,0.0,3:Female,2.0,2.0,011064102,28.0
0110900,9.0,011090009,1.0,3:Female,8.0,8.0,011090008,22.0
0111051,4.0,011105104,4.0,1:Male,2.0,2.0,011105102,36.0
0111251,3.0,011125103,3.0,1:Male,2.0,2.0,011125102,25.0
0111251,4.0,011125104,2.0,1:Male,2.0,2.0,011125102,25.0
0111341,4.0,011134104,3.0,3:Female,2.0,2.0,011130003,44.0
0111351,3.0,011135103,4.0,3:Female,2.0,2.0,011130006,30.0
0111351,4.0,011135104,0.0,3:Female,2.0,2.0,011130006,30.0
0111400,7.0,011140007,1.0,3:Female,3.0,3.0,011140003,30.0
0111500,12.0,011150012,3.0,1:Male,9.0,9.0,011150009,32.0
0111512,6.0,011151206,4.0,1:Male,2.0,2.0,011151202,45.0
0111512,7.0,011151207,2.0,1:Male,2.0,2.0,011151202,45.0
0111600,4.0,011160004,3.0,1:Male,5.0,5.0,011160005,27.0
0111731,5.0,011173105,2.0,1:Male,2.0,2.0,011173102,35.0
0111741,4.0,011174104,1.0,3:Female,2.0,2.0,011174102,30.0
0111742,4.0,011174204,1.0,3:Female,2.0,2.0,011170006,33.0
0112000,6.0,011200006,2.0,1:Male,2.0,2.0,011200002,46.0
0112100,7.0,011210007,4.0,1:Male,3.0,3.0,011210003,38.0
0112341,4.0,011234104,2.0,3:Female,2.0,2.0,011234102,26.0
0112351,4.0,011235104,2.0,1:Male,2.0,2.0,011230008,29.0
0112451,3.0,011240048,4.0,3:Female,2.0,2.0,011245102,28.0
0112542,3.0,011254203,4.0,3:Female,1.0,1.0,011250005,30.0
0112542,4.0,011254204,1.0,1:Male,1.0,1.0,011250005,30.0
0112632,6.0,011263206,3.0,1:Male,1.0,1.0,011260005,45.0
0112651,3.0,011265103,0.0,1:Male,2.0,2.0,011260006,21.0
0112700,6.0,011270006,1.0,1:Male,7.0,7.0,011270007,25.0
0112741,4.0,011274104,3.0,1:Male,2.0,2.0,011270003,34.0
0112741,5.0,011274105,3.0,3:Female,2.0,2.0,011270003,34.0
0120443,4.0,012044304,2.0,1:Male,2.0,2.0,012044302,24.0
0120451,4.0,012045104,2.0,1:Male,2.0,2.0,012040005,28.0
